الأرز كان فيه سوس صغير.,Beheira,Kafr El Dawwar,Negative
المنفذ فتح في وقته العادي.,Beheira,Rosetta,Neutral
المنفذ وفر خضار فريش وكله مغسول.,Minya,Minya City,Positive
المكان محتاج رقابة عاجلة من الوزارة.,Minya,Mallawi,Negative
المنفذ لسه على حاله من فترة.,Minya,Samalut,Neutral
تم تسجيل الطلب إلكتروني من غير أخطاء.,Asyut,Asyut City,Positive
التوزيع كان عشوائي ومليان فوضى.,Asyut,Abnub,Negative
في بعض السلع موجودة والبعض ناقص.,Asyut,Manfalut,Neutral
الموظف سألنا عن رأينا وكتب الملاحظات.,Faiyum,Faiyum City,Positive
الكاشير خد وقت طويل جدا في الحساب.,Faiyum,Sinnuris,Negative
الوزن اتراجع مرتين للتأكد وبس.,Faiyum,Ibishway,Neutral
الخدمة المتنقلة وصلت في المعاد بالظبط.,Suez,Suez City,Positive
السلع منتهية الصلاحية متسيبة على الرف.,Suez,Arbaeen,Negative
الكاشير اشتغل بهدوء من غير استعجال.,Suez,Ganayen,Neutral
المكان مجهز بكراسي مريحة للانتظار.,Ismailia,Ismailia City,Positive
الطلبية اتأخرت أكتر من ساعتين.,Ismailia,Fayed,Negative
تم توزيع الأرقام على الدور بالتساوي.,Ismailia,Abu Suwayr,Neutral
التاجر استجاب لأي ملاحظة بسرعة.,Sharqia,Zagazig,Positive
مفيش مياه شرب للناس المنتظرة.,Sharqia,Belha,Negative
الانتظار جوة كان أهدى من برة.,Sharqia,10th of Ramadan City,Neutral
السلع المدعومة موجودة بكميات كويسة.,Dakahlia,Mansoura,Positive
التاجر اتعامل بقلة احترام مع الأهالي.,Dakahlia,Mit Ghamr,Negative
استلمت الفاتورة وخليتها مع الورق.,Dakahlia,Talkha,Neutral
تم توفير عروض إضافية على السلع.,Gharbia,Tanta,Positive
الأسعار بتزيد من غير ما يبلغونا.,Gharbia,El Mahalla El Kubra,Negative
الأرفف متقسمة حسب النوع كالعادة.,Gharbia,Zefta,Neutral
الفرع التزم بكل تعليمات السلامة.,Damietta,Damietta City,Positive
البضاعة محطوطة في الأرض ومش متغطية.,Damietta,Ras El Bar,Negative
مفيش مشاكل كبيرة ولا مميزات خطيرة.,Damietta,Kafr Saad,Neutral
البطاقات اتقرت بالباركود من غير تأخير.,Beni Suef,Beni Suef City,Positive
مواعيد العمل غير ملتزمين بيها خالص.,Beni Suef,El Wasta,Negative
قعدنا شوية في الانتظار لغاية ما نادوا.,Beni Suef,Nasser City,Neutral
الخدمة النهاردة كانت ممتازة والناس مبسوطة.,Kafr El Sheikh,Kafr El Sheikh City,Positive
الطابور كان طويل ومحدش نظم الناس.,Kafr El Sheikh,Desouk,Negative
استلمت الكمية المعتادة من غير زيادات.,Kafr El Sheikh,Baltim,Neutral
التاجر وزع ابتسامات واهتمام على كل زبون.,Red Sea,Hurghada,Positive
الأكياس اتقطعت من كتر الوزن ومحدش ساعد.,Red Sea,El Quseir,Negative
الإجراءات مشت بالطريقة المعروفة كل شهر.,Red Sea,Marsa Alam,Neutral
السلع كلها متاحة والتعبئة شكلها محترم.,Matruh,Marsa Matruh,Positive
اللحوم ريحتها مش لطيفة خالص.,Matruh,Siwa,Negative
الانتظار كان مقبول مش طويل قوي.,Matruh,El Alamein,Neutral
الوزن كان دقيق والميزان اتراجع قدامنا.,Port Said,Port Said City,Positive
الأسعار أعلى من اللي اتكتب على اليافطة.,Port Said,Port Fouad,Negative
ما لاحظتش اختلاف كبير عن الزيارة اللي فاتت.,North Sinai,Arish,Neutral
المنفذ وفر أكياس قماش بديلة عن البلاستيك.,South Sinai,Sharm El Sheikh,Positive
مفيش موظفين كفاية يخدموا الزباين.,South Sinai,Dahab,Negative
تم التوقيع في الدفتر وسلمونا الطلب.,New Valley,Kharga,Neutral
الأسعار ثابتة ومناسبة لميزانية البيت.,New Valley,Mut,Positive
السلع الأساسية خلصت بدري ومافيش بديل.,New Valley,Farafra,Negative
المكان كان مزدحم نص نص.,Qalyubia,Banha,Neutral
الموظفين تعاونوا بسرعة مع كبار السن.,Qalyubia,Obour City,Positive
التاجر ما بيردش على الشكاوي إطلاقاً.,Qalyubia,Shubra El Kheima,Negative
الاتصالات شغالة والردود رسمية.,Qalyubia,Khanka,Neutral
الجو جوة المنفذ منظم ومكيف كويس.,Giza,Sheikh Zayed,Positive
المكان ضيق وحر جدًا من غير تهوية.,Cairo,Helwan,Negative
الأسعار مستقرة نفس الجدول القديم.,Cairo,New Cairo,Neutral
تم توزيع السكر والزيت بشكل عادل.,Cairo,Shubra,Positive
الوزن ناقص عن المفروض ومحدش اعترف.,Cairo,El Marg,Negative
الخدمة كانت متوسطة مش أحسن حاجة.,Cairo,15th of May City,Neutral
الشكر موصول للفرع على الأسلوب الراقي.,Giza,Boulaq Dakrour,Positive
الأرز كان فيه سوس صغير.,Giza,Warraq,Negative
المنفذ فتح في وقته العادي.,Giza,Imbaba,Neutral
المنفذ وفر خضار فريش وكله مغسول.,Alexandria,Borg El Arab,Positive
المكان محتاج رقابة عاجلة من الوزارة.,Alexandria,Agami,Negative
المنفذ لسه على حاله من فترة.,Alexandria,Abu Qir,Neutral
تم تسجيل الطلب إلكتروني من غير أخطاء.,Faiyum,Tamiya,Positive
التوزيع كان عشوائي ومليان فوضى.,Faiyum,Yusuf Al Seddik,Negative
في بعض السلع موجودة والبعض ناقص.,Faiyum,New Faiyum,Neutral
الموظف سألنا عن رأينا وكتب الملاحظات.,Sharqia,Hehia,Positive
الكاشير خد وقت طويل جدا في الحساب.,Sharqia,Faqous,Negative
الوزن اتراجع مرتين للتأكد وبس.,Sharqia,Mashtoul El Souk,Neutral
الخدمة المتنقلة وصلت في المعاد بالظبط.,Dakahlia,Sherbin,Positive
السلع منتهية الصلاحية متسيبة على الرف.,Dakahlia,Manzala,Negative
الكاشير اشتغل بهدوء من غير استعجال.,Dakahlia,New Mansoura,Neutral
المكان مجهز بكراسي مريحة للانتظار.,Gharbia,Samanoud,Positive
الطلبية اتأخرت أكتر من ساعتين.,Gharbia,Qutur,Negative
تم توزيع الأرقام على الدور بالتساوي.,Gharbia,Kafr El Zayat,Neutral
التاجر استجاب لأي ملاحظة بسرعة.,Damietta,Az Zarqa,Positive
مفيش مياه شرب للناس المنتظرة.,Damietta,Faraskur,Negative
الانتظار جوة كان أهدى من برة.,Damietta,New Damietta,Neutral
السلع المدعومة موجودة بكميات كويسة.,Beni Suef,Beba,Positive
التاجر اتعامل بقلة احترام مع الأهالي.,Beni Suef,Ehnasia,Negative
استلمت الفاتورة وخليتها مع الورق.,Beni Suef,Fashn,Neutral
تم توفير عروض إضافية على السلع.,Minya,Beni Mazar,Positive
الأسعار بتزيد من غير ما يبلغونا.,Minya,Abu Qurqas,Negative
الأرفف متقسمة حسب النوع كالعادة.,Minya,Maghagha,Neutral
الفرع التزم بكل تعليمات السلامة.,Asyut,Sadfa,Positive
البضاعة محطوطة في الأرض ومش متغطية.,Asyut,Qusiya,Negative
مفيش مشاكل كبيرة ولا مميزات خطيرة.,Asyut,Dairut,Neutral
البطاقات اتقرت بالباركود من غير تأخير.,Sohag,Tahta,Positive
مواعيد العمل غير ملتزمين بيها خالص.,Sohag,El Balyana,Negative
قعدنا شوية في الانتظار لغاية ما نادوا.,Sohag,Maragha,Neutral
الخدمة النهاردة كانت ممتازة والناس مبسوطة.,Qena,Farshut,Positive
الطابور كان طويل ومحدش نظم الناس.,Qena,Qus,Negative
استلمت الكمية المعتادة من غير زيادات.,Qena,El Waqf,Neutral
التاجر وزع ابتسامات واهتمام على كل زبون.,Luxor,Esna,Positive
الأكياس اتقطعت من كتر الوزن ومحدش ساعد.,Luxor,Tod,Negative
الإجراءات مشت بالطريقة المعروفة كل شهر.,Luxor,Armant,Neutral
السلع كلها متاحة والتعبئة شكلها محترم.,Aswan,Darau,Positive
اللحوم ريحتها مش لطيفة خالص.,Aswan,Nasser City,Negative
الانتظار كان مقبول مش طويل قوي.,Aswan,Kalabsha,Neutral
الوزن كان دقيق والميزان اتراجع قدامنا.,Red Sea,Ras Gharib,Positive
الأسعار أعلى من اللي اتكتب على اليافطة.,Red Sea,Safaga,Negative
ما لاحظتش اختلاف كبير عن الزيارة اللي فاتت.,Red Sea,Shalateen,Neutral
المنفذ وفر أكياس قماش بديلة عن البلاستيك.,Matruh,Barani,Positive
مفيش موظفين كفاية يخدموا الزباين.,Matruh,El Dabaa,Negative
تم التوقيع في الدفتر وسلمونا الطلب.,Matruh,North Coast,Neutral
الأسعار ثابتة ومناسبة لميزانية البيت.,Port Said,South District,Positive
السلع الأساسية خلصت بدري ومافيش بديل.,Port Said,East Harbour,Negative
المكان كان مزدحم نص نص.,Port Said,Industrial Area,Neutral
الموظفين تعاونوا بسرعة مع كبار السن.,Ismailia,Tell El Kebir,Positive
التاجر ما بيردش على الشكاوي إطلاقاً.,Ismailia,El Qantara West,Negative
الاتصالات شغالة والردود رسمية.,Ismailia,El Qantara East,Neutral
الجو جوة المنفذ منظم ومكيف كويس.,Suez,Attaka,Positive
المكان ضيق وحر جدًا من غير تهوية.,Suez,Port Tawfiq,Negative
الأسعار مستقرة نفس الجدول القديم.,Suez,Al Kabwat,Neutral
تم توزيع السكر والزيت بشكل عادل.,Giza,Kit Kat,Positive
الوزن ناقص عن المفروض ومحدش اعترف.,Giza,Saft El Laban,Negative
الخدمة كانت متوسطة مش أحسن حاجة.,Giza,Hadayek October,Neutral
الشكر موصول للفرع على الأسلوب الراقي.,Cairo,Masr El Gedida,Positive
الأرز كان فيه سوس صغير.,Cairo,El Salam City,Negative
المنفذ فتح في وقته العادي.,Cairo,Badr City,Neutral
المنفذ وفر خضار فريش وكله مغسول.,Cairo,Katameya,Positive
المكان محتاج رقابة عاجلة من الوزارة.,Cairo,Mukattam,Negative
المنفذ لسه على حاله من فترة.,Cairo,El Shorouk,Neutral
تم تسجيل الطلب إلكتروني من غير أخطاء.,Giza,October Gardens,Positive
التوزيع كان عشوائي ومليان فوضى.,Giza,Hadayek October,Negative
في بعض السلع موجودة والبعض ناقص.,Giza,Abu Rawash,Neutral
الموظف سألنا عن رأينا وكتب الملاحظات.,Alexandria,Anfushi,Positive
الكاشير خد وقت طويل جدا في الحساب.,Alexandria,Labban,Negative
الوزن اتراجع مرتين للتأكد وبس.,Alexandria,El Gomrok,Neutral
الخدمة المتنقلة وصلت في المعاد بالظبط.,Alexandria,Azarita,Positive
السلع منتهية الصلاحية متسيبة على الرف.,Alexandria,Camp Caesar,Negative
الكاشير اشتغل بهدوء من غير استعجال.,Alexandria,Kafr Abdo,Neutral
المكان مجهز بكراسي مريحة للانتظار.,Sharqia,Abu Hammad,Positive
الطلبية اتأخرت أكتر من ساعتين.,Sharqia,El Ibrahimiya,Negative
تم توزيع الأرقام على الدور بالتساوي.,Sharqia,Awlad Saqr,Neutral
التاجر استجاب لأي ملاحظة بسرعة.,Dakahlia,Sinbillawin,Positive
مفيش مياه شرب للناس المنتظرة.,Dakahlia,El Gamaliya,Negative
الانتظار جوة كان أهدى من برة.,Dakahlia,El Kurdi,Neutral
السلع المدعومة موجودة بكميات كويسة.,Gharbia,El Santa,Positive
التاجر اتعامل بقلة احترام مع الأهالي.,Gharbia,Basyoun,Negative
استلمت الفاتورة وخليتها مع الورق.,Gharbia,El Mahalla El Soghra,Neutral
تم توفير عروض إضافية على السلع.,Damietta,Ezbet El Borg,Positive
الأسعار بتزيد من غير ما يبلغونا.,Damietta,El Rowasiya,Negative
الأرفف متقسمة حسب النوع كالعادة.,Damietta,Sinaniya,Neutral
الفرع التزم بكل تعليمات السلامة.,Kafr El Sheikh,Metobas,Positive
البضاعة محطوطة في الأرض ومش متغطية.,Kafr El Sheikh,Fuwwah,Negative
مفيش مشاكل كبيرة ولا مميزات خطيرة.,Kafr El Sheikh,Sidi Salem,Neutral
البطاقات اتقرت بالباركود من غير تأخير.,Beheira,Itay El Barud,Positive
مواعيد العمل غير ملتزمين بيها خالص.,Beheira,Kom Hamada,Negative
قعدنا شوية في الانتظار لغاية ما نادوا.,Beheira,Edko,Neutral
الخدمة النهاردة كانت ممتازة والناس مبسوطة.,Monufia,Shebin El Kom,Positive
الطابور كان طويل ومحدش نظم الناس.,Monufia,Menouf,Negative
استلمت الكمية المعتادة من غير زيادات.,Monufia,Quweisna,Neutral
التاجر وزع ابتسامات واهتمام على كل زبون.,Monufia,Ashmoun,Positive
الأكياس اتقطعت من كتر الوزن ومحدش ساعد.,Monufia,Sadat City,Negative
الإجراءات مشت بالطريقة المعروفة كل شهر.,Monufia,Berket El Sabaa,Neutral
السلع كلها متاحة والتعبئة شكلها محترم.,Giza,El Ayyat,Positive
اللحوم ريحتها مش لطيفة خالص.,Giza,Manial Shiha,Negative
الانتظار كان مقبول مش طويل قوي.,Giza,Baragil,Neutral
الوزن كان دقيق والميزان اتراجع قدامنا.,Cairo,El Manial,Positive
الأسعار أعلى من اللي اتكتب على اليافطة.,Cairo,Basatin,Negative
ما لاحظتش اختلاف كبير عن الزيارة اللي فاتت.,Cairo,Ezbet El Nakhl,Neutral
المنفذ وفر أكياس قماش بديلة عن البلاستيك.,Cairo,El Sayeda Zeinab,Positive
مفيش موظفين كفاية يخدموا الزباين.,Cairo,Boulaq Abou El Ela,Negative
تم التوقيع في الدفتر وسلمونا الطلب.,Cairo,Rod El Farag,Neutral
الأسعار ثابتة ومناسبة لميزانية البيت.,Cairo,El Daher,Positive
السلع الأساسية خلصت بدري ومافيش بديل.,Cairo,El Matareya,Negative
المكان كان مزدحم نص نص.,Cairo,Hadaeq El Kobba,Neutral
الموظفين تعاونوا بسرعة مع كبار السن.,Cairo,Abbassia,Positive
التاجر ما بيردش على الشكاوي إطلاقاً.,Cairo,Ein Shams,Negative
